stress_definition,pair,a,b,tail,q,n_calm,n_stress,B,block,seed,lambda_calm,lambda_stress,difference,diff_lo_95,diff_hi_95,p_value
combined,Brent–Cedi,brent,cedi,lower,0.025,2451,322,15000,20,1928476328,0.016319869441,0.124223602484,0.107903733043,-0.0489596083231,0.356350938012,0.647890140657
combined,Brent–Cedi,brent,cedi,upper,0.025,2451,322,15000,20,2966690844,0.016319869441,0.124223602484,0.107903733043,-0.0652794777642,0.372670807453,0.575361642557
combined,Brent–Cedi,brent,cedi,lower,0.05,2451,322,15000,20,933125933,0.0571195430437,0.124223602484,0.0671040594408,-0.0734394124847,0.245279528447,0.429038064129
combined,Brent–Cedi,brent,cedi,upper,0.05,2451,322,15000,20,2883359054,0.0571195430437,0.0621118012422,0.00499225819858,-0.0897592819257,0.153695664845,0.94573695087
combined,Brent–Cedi,brent,cedi,lower,0.1,2451,322,15000,20,4050018644,0.110159118727,0.0931677018634,-0.0169914168637,-0.103583022267,0.108816023882,0.750749950003
combined,Brent–Cedi,brent,cedi,upper,0.1,2451,322,15000,20,1300562661,0.110159118727,0.0931677018634,-0.0169914168637,-0.122399020808,0.0990722509003,0.779081394574
combined,Brent–WTI,brent,wti,lower,0.025,2451,322,15000,20,698158739,0.750713994288,0.745341614907,-0.00537237938121,-0.410682925717,0.226754956147,0.958602759816
combined,Brent–WTI,brent,wti,upper,0.025,2451,322,15000,20,4036996511,0.767033863729,0.621118012422,-0.145915851307,-0.567546267083,0.194115217265,0.446903539764
combined,Brent–WTI,brent,wti,lower,0.05,2451,322,15000,20,3554246959,0.742554059568,0.807453416149,0.0648993565815,-0.145915851307,0.221762697948,0.497033531098
combined,Brent–WTI,brent,wti,upper,0.05,2451,322,15000,20,2564344620,0.750713994288,0.621118012422,-0.129595981866,-0.299611516151,0.167810831426,0.361375908273
combined,Brent–WTI,brent,wti,lower,0.1,2451,322,15000,20,1794798157,0.762953896369,0.807453416149,0.0444995197802,-0.145915851307,0.153987091085,0.549296713552
combined,Brent–WTI,brent,wti,upper,0.1,2451,322,15000,20,801737942,0.758873929009,0.714285714286,-0.0445882147229,-0.152491947766,0.141747189004,0.612025864942
combined,Cocoa–Brent,cocoa,brent,lower,0.025,2451,322,15000,20,3056192305,0.114239086087,0.124223602484,0.00998451639716,-0.16319869441,0.36633545441,0.941270581961
combined,Cocoa–Brent,cocoa,brent,upper,0.025,2451,322,15000,20,1389327429,0.0489596083231,0,-0.0489596083231,-0.114239086087,0.0589441247203,0.157056196254
combined,Cocoa–Brent,cocoa,brent,lower,0.05,2451,322,15000,20,2271003426,0.15503875969,0.124223602484,-0.0308151572055,-0.171358629131,0.171840115962,0.728618092127
combined,Cocoa–Brent,cocoa,brent,upper,0.05,2451,322,15000,20,1295656393,0.0489596083231,0.0621118012422,0.0131521929191,-0.0979192166463,0.145535730124,0.870075328311
combined,Cocoa–Brent,cocoa,brent,lower,0.1,2451,322,15000,20,1079798864,0.175438596491,0.0931677018634,-0.0822708946279,-0.177022434752,0.0272166766765,0.116325578295
combined,Cocoa–Brent,cocoa,brent,upper,0.1,2451,322,15000,20,3437158784,0.134638922889,0.0621118012422,-0.0725271216464,-0.15503875969,0.00182458167664,0.0784614359043
combined,Cocoa–Cedi,cocoa,cedi,lower,0.025,2451,322,15000,20,4110965,0,0.124223602484,0.124223602484,0,0.372670807453,0.67442170522
combined,Cocoa–Cedi,cocoa,cedi,upper,0.025,2451,322,15000,20,3052961063,0,0,0,-0.0326397388821,0,1
combined,Cocoa–Cedi,cocoa,cedi,lower,0.05,2451,322,15000,20,3271489427,0.0326397388821,0.0621118012422,0.0294720623601,-0.0571195430437,0.170015534286,0.64849010066
combined,Cocoa–Cedi,cocoa,cedi,upper,0.05,2451,322,15000,20,3696035389,0.0407996736026,0,-0.0407996736026,-0.0734394124847,0.0671040594408,0.0931271248583
combined,Cocoa–Cedi,cocoa,cedi,lower,0.1,2451,322,15000,20,2641169505,0.0897592819257,0.0621118012422,-0.0276474806835,-0.110159118727,0.0818400906209,0.588360775948
combined,Cocoa–Cedi,cocoa,cedi,upper,0.1,2451,322,15000,20,2740436230,0.0897592819257,0.0310559006211,-0.0587033813046,-0.114239086087,0.0426242552792,0.14319045397
combined,Cocoa–Gold,cocoa,gold,lower,0.025,2451,322,15000,20,731674136,0.0326397388821,0.248447204969,0.215807466087,-0.0979192166463,0.248447204969,0.71041930538
combined,Cocoa–Gold,cocoa,gold,upper,0.025,2451,322,15000,20,1943538578,0.0326397388821,0,-0.0326397388821,-0.0815993472052,0,0.294047063529
combined,Cocoa–Gold,cocoa,gold,lower,0.05,2451,322,15000,20,33315177,0.0897592819257,0.124223602484,0.0344643205587,-0.130558955528,0.183167727205,0.761482567829
combined,Cocoa–Gold,cocoa,gold,upper,0.05,2451,322,15000,20,1386910214,0.0897592819257,0,-0.0897592819257,-0.138718890249,-0.016319869441,0.0136657556163
combined,Cocoa–Gold,cocoa,gold,lower,0.1,2451,322,15000,20,2199445327,0.134638922889,0.186335403727,0.0516964808381,-0.0750232507457,0.181583888944,0.421771881875
combined,Cocoa–Gold,cocoa,gold,upper,0.1,2451,322,15000,20,1739711632,0.15911872705,0.0621118012422,-0.0970069258079,-0.175438596491,0.0312966440368,0.0762615825612
combined,Cocoa–WTI,cocoa,wti,lower,0.025,2451,322,15000,20,1117946294,0.0979192166463,0.124223602484,0.0263043858382,-0.130558955528,0.382655323851,0.830877941471
